sorszam, key, kerdes,valasz_lehetoseg,helyes valasz
1,nev,Név,,
2,email,Email,,
3,tel,Telefonszám,,
4,birth_date,Melyik évben születtél?,,
5,location,Hol laksz? Honnan jarnál be dolgozni?,"[Budapest, Pest megye, Egyéb]",
6,mellek_vagy_fo,"Mellék, vagy főállásban dolgoznál nálunk?","[Fő állás, Mellék állás]",
7,tapasztalat,"Van tapasztalatod autómosás, vagy autókozmetika területén? - nem kizáró ok ha nincs","[Van, Nincs]",
8,kismotor,"Rendelkezel kismotor/motor, vagy B kategóriás jogosítvánnyal?","[Igen, Nem]",
9,robogo,Rendelkezel tapasztalattal motorozás/robogózás terén? - nem kizáró ok ha nem,"[Igen, Nem]",
10,auto,Rendelkezel saját autóval? - nem kizáró ok ha nem,"[Igen, Nem]",
